Lugar,Mar 2022,Dic 2022,Mar 2023,Diferencia % con trimestre anterior,Diferencia % con año anterior
Trabajo,"32.7% (294,838)","31.1% (299,215)","41.9% (417,147)",10.7 pp,9.2 pp
Carretera,"46.9% (553,012)","48.9% (506,176)","49.6% (571,416)",0.7 pp,2.7 pp
Banco,"75.0% (927,721)","79.4% (958,060)","77.2% (948,360)",-2.2 pp,2.2 pp
Casa,"16.2% (219,110)","13.2% (185,723)","17.9% (251,645)",4.7 pp,1.7 pp
Automóvil,"36.5% (459,064)","37.3% (452,641)","37.1% (476,946)",-0.2 pp,0.6 pp
Mercado,"48.3% (585,654)","49.1% (554,440)","48.4% (521,493)",-0.7 pp,0 pp
"Cajeros
automáticos","88.4% (1,083,789)","86.3% (1,011,819)","86.1% (1,052,134)",-0.1 pp,-2.3 pp
"Parque
o centro
recreativo","57.8% (639,551)","64.9% (695,724)","54.6% (592,012)",-10.3 pp,-3.2 pp
"Centro
comercial","39.3% (479,878)","32.4% (386,542)","35.9% (415,485)",3.5 pp,-3.4 pp
"Transporte
público","83.1% (819,093)","71.9% (697,336)","78.7% (756,653)",6.8 pp,-4.4 pp
"Calles que
habitualmente
usa","70.6% (933,749)","66.6% (891,912)","66.2% (904,650)",-0.4 pp,-4.5 pp
Escuela,"34.6% (37,788)","27.3% (33,143)","21.1% (28,656)",-6.1 pp,-13.4 pp
